expected,edgar,jj,miguel
0.0,0.034137182,-0.03153189,-0.041965626
0.0,0.030713115,-0.031902663,-0.042028353
0.0,0.026919927,-0.032319114,-0.04209797
0.0,0.028714415,-0.032128975,-0.042209946
0.0,0.026517555,-0.032355495,-0.04229334
0.0,0.027772665,-0.032231063,-0.0424055
0.0,0.037725467,-0.03139355,-0.04250913
0.0,0.026563924,-0.032342345,-0.042555094
0.0,0.03704134,-0.031521052,-0.042668283
0.0,0.058466833,-0.027206361,-0.04270515
0.0,0.03880155,-0.031396735,-0.042737573
0.0,0.053722393,-0.029066566,-0.042779356
0.0,0.046774462,-0.030533146,-0.042809166
0.0,0.06892816,-0.01904273,-0.042764045
0.0,0.0650142,-0.022784138,-0.042770296
0.0,0.072278544,-0.013032924,-0.042512335
0.0,0.057933714,-0.027472809,-0.042730995
0.0,0.06521987,-0.02262521,-0.04271178
0.0,0.06485186,-0.022940261,-0.042705342
0.0,0.07221595,-0.014114406,-0.042500086
0.0,0.07318989,0.0030856803,-0.041788056
0.0,0.07259572,0.03679773,-0.04042528
0.07202222222214652,0.07416215,-0.004004704,-0.041785225
0.07870999999993199,0.05917472,0.03405638,-0.040140897
0.07202222222215998,0.059419412,0.043762755,-0.0392297
0.094143333333252,0.058891717,0.06327108,-0.0234225
0.08385444444437196,0.0582256,0.06659044,0.0096703265
0.08796999999992394,0.059118662,0.067913,0.018165419
0.09259999999991997,0.060860585,0.06762171,0.0168478
0.09465777777769603,0.061862674,0.06819783,0.021294827
0.10494666666657593,0.06092335,0.08067965,0.030597748
0.10546111111102008,0.06285945,0.076679535,0.036381684
0.039612222222187854,0.06376522,0.077327624,0.048458114
0.019548888888871963,0.063042425,0.09555148,0.064524926
0.04578555555551611,0.06506148,0.07428677,0.05465377
0.02880888888886401,0.065113045,0.08431765,0.06392456
0.06327666666661202,0.06564546,0.072460495,0.06373856
0.052987777777731886,0.06573491,0.07776088,0.07859976
0.05813222222217208,0.06579251,0.0880508,0.08950394
0.06276222222216797,0.065985285,0.07864859,0.097195216
0.097229999999916,0.06604509,0.0839496,0.09939913
0.07099333333327196,0.06855232,0.081741445,0.1030558
0.08128222222215209,0.06452894,0.07138338,0.10409125
0.12758222222211213,0.046468433,0.091162205,0.10121233
0.1003166666665798,0.046447366,0.067989916,0.100162975
0.12192333333322793,0.046444744,0.060937822,0.09257344
0.08848444444436797,0.04644442,0.06749054,0.09343206
0.11935111111100816,0.046443377,0.010292837,0.08872554
0.11935111111100748,0.046443287,0.04308834,0.090144366
0.11935111111100792,0.04644282,0.009675613,0.07752824
0.09517222222214006,0.046442796,0.01000018,0.086427025
0.13118333333321974,0.0464426,0.009566087,0.054854654
0.11729333333323222,0.046442658,0.009697214,0.08093352
0.1034033333332438,0.046442613,0.009621875,0.076806016
0.10803333333323993,0.046442322,0.009541739,0.037690364
0.07768111111104402,0.046442516,0.009550178,0.05389019
0.10751888888879613,0.046441734,0.009522874,0.022724176
0.06379111111105606,0.046435237,0.009457979,-0.007857892
