Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-17.820005,82.2501,-12.291909,-40.641006,38.63801,-25.240738,-1.9041402,3.0493717,2.476309
0,1,0,-17.82462,82.27367,-12.29838,-40.6054,38.614666,-25.229965,-1.8999245,3.043256,2.4717755
0,1,0,-17.832644,82.31466,-12.309638,-40.543472,38.57408,-25.211235,-1.8925924,3.03262,2.4638915
0,1,0,-17.849405,82.40026,-12.333145,-40.41416,38.489323,-25.172123,-1.8772833,3.0104108,2.447429
0,1,0,-17.862316,82.466225,-12.351256,-40.31453,38.42402,-25.141987,-1.8654873,2.9932985,2.4347441
0,1,0,-17.876488,82.5386,-12.371133,-40.205185,38.352352,-25.108913,-1.8525422,2.9745193,2.4208238
0,1,0,-17.893246,82.6242,-12.394639,-40.075882,38.267597,-25.069807,-1.8372335,2.9523113,2.404362
0,1,0,-17.910645,82.713066,-12.41904,-39.94165,38.179615,-25.029205,-1.8213418,2.929257,2.3872728
0,1,0,-17.927595,82.799644,-12.442817,-39.810852,38.093884,-24.989643,-1.8058558,2.906792,2.3706203
0,1,0,-17.942917,82.8779,-12.464307,-39.692635,38.0164,-24.95389,-1.7918599,2.8864882,2.35557
0,1,0,-17.955666,82.94302,-12.48219,-39.594254,37.951916,-24.924133,-1.7802122,2.869591,2.3430448
0,1,0,-17.970934,83.021,-12.503604,-39.476456,37.874706,-24.888504,-1.7662659,2.8493595,2.328048
0,1,0,-17.98757,83.10597,-12.526938,-39.348095,37.790577,-24.84968,-1.7510695,2.8273141,2.3117068
0,1,0,-17.99939,83.16636,-12.543519,-39.256874,37.730785,-24.82209,-1.7402697,2.8116467,2.3000932
0,1,0,-18.011484,83.22813,-12.560482,-39.163574,37.669632,-24.793869,-1.7292235,2.795622,2.2882147
0,1,0,-18.022667,83.28525,-12.576168,-39.07728,37.61307,-24.767769,-1.719007,2.7808013,2.2772286
0,1,0,-18.033092,83.338486,-12.59079,-38.99684,37.56035,-24.743439,-1.7094839,2.7669861,2.266988
0,1,0,-18.048285,83.41609,-12.612096,-38.87963,37.483524,-24.707987,-1.6956067,2.746855,2.2520657
0,1,0,-18.058178,83.46664,-12.625977,-38.803276,37.43348,-24.684895,-1.6865673,2.7337413,2.2423449
0,1,0,-18.07009,83.527466,-12.642683,-38.711372,37.37324,-24.657097,-1.6756864,2.7179568,2.2306442
0,1,0,-18.08439,83.600525,-12.662743,-38.601013,37.300903,-24.623714,-1.6626205,2.6990023,2.2165942
0,1,0,-18.094252,83.65089,-12.676572,-38.52494,37.251045,-24.600708,-1.6536145,2.6859372,2.2069097
0,1,0,-18.108566,83.72401,-12.696652,-38.414482,37.178646,-24.567297,-1.6405324,2.6670976,2.192778
0,1,0,-18.118332,83.77387,-12.710347,-38.339146,37.129265,-24.54451,-1.631592,2.6548064,2.1828518
0,1,0,-18.126356,83.81487,-12.721603,-38.277214,37.08868,-24.52578,-1.6242428,2.6447024,2.174692
0,1,0,-18.13502,83.85911,-12.733754,-38.210373,37.044865,-24.505562,-1.6163104,2.633797,2.1658847
0,1,0,-18.144886,83.909515,-12.747594,-38.134247,36.99497,-24.482536,-1.607276,2.6213765,2.155854
0,1,0,-18.15917,83.982475,-12.767629,-38.024033,36.922726,-24.4492,-1.5941963,2.603394,2.1413317
0,1,0,-18.167362,84.024315,-12.779119,-37.960823,36.881298,-24.430084,-1.5866951,2.5930815,2.1330032
0,1,0,-18.17996,84.08867,-12.796792,-37.86361,36.817577,-24.40068,-1.5751584,2.5772204,2.120194
0,1,0,-18.190714,84.143585,-12.8118725,-37.78065,36.763203,-24.375587,-1.5653131,2.5636852,2.1092632
0,1,0,-18.202423,84.20339,-12.828296,-37.6903,36.703983,-24.348259,-1.5545912,2.5489447,2.0973585
0,1,0,-18.21437,84.264404,-12.845054,-37.59812,36.643566,-24.32038,-1.5436515,2.5339046,2.0852122
0,1,0,-18.227346,84.330696,-12.8632555,-37.497993,36.577938,-24.290094,-1.5317693,2.5175686,2.0720196
0,1,0,-18.239956,84.395096,-12.8809395,-37.40071,36.514175,-24.26067,-1.5202243,2.5016963,2.0592012
0,1,0,-18.251785,84.45552,-12.897533,-37.309425,36.45434,-24.23306,-1.5093913,2.486803,2.0471735
0,1,0,-18.264816,84.52209,-12.91581,-37.208878,36.38844,-24.202648,-1.4974589,2.4703982,2.0339248
0,1,0,-18.278164,84.590256,-12.934531,-37.10589,36.320934,-24.171497,-1.4852369,2.4535954,2.020355
0,1,0,-18.290573,84.65365,-12.95194,-37.01013,36.25817,-24.142536,-1.4738729,2.4379716,2.0077376
