Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-17.098587,78.56529,-11.280034,-46.207382,42.286453,-26.924353,-2.563156,4.0053983,3.1849728
0,1,0,-17.121197,78.68076,-11.311746,-46.032944,42.17212,-26.87159,-2.5425034,3.9754374,3.162764
0,1,0,-17.143023,78.79225,-11.3423605,-45.864525,42.06173,-26.82065,-2.5225642,3.946512,3.1413229
0,1,0,-17.167498,78.917274,-11.376689,-45.675682,41.93795,-26.76353,-2.500206,3.914077,3.1172802
0,1,0,-17.188425,79.024155,-11.406042,-45.514206,41.83212,-26.714691,-2.481089,3.8863447,3.096723
0,1,0,-17.2122,79.1456,-11.439391,-45.330765,41.71188,-26.659208,-2.459371,3.8548386,3.073369
0,1,0,-17.234468,79.259346,-11.470624,-45.158943,41.59926,-26.607237,-2.4390287,3.825328,3.0514941
0,1,0,-17.257416,79.37654,-11.502809,-44.98189,41.48321,-26.553686,-2.4180667,3.7949188,3.0289528
0,1,0,-17.278744,79.48549,-11.532725,-44.81732,41.375347,-26.503914,-2.3985837,3.7666547,3.008002
0,1,0,-17.301876,79.603645,-11.56517,-44.638832,41.258358,-26.449924,-2.3774517,3.7359993,2.9852781
0,1,0,-17.324333,79.71834,-11.596671,-44.465546,41.14478,-26.397514,-2.3569357,3.706237,2.9632168
0,1,0,-17.347273,79.83551,-11.628844,-44.288563,41.028774,-26.343983,-2.335982,3.6758397,2.9406843
0,1,0,-17.370811,79.95575,-11.661863,-44.106926,40.909725,-26.289045,-2.3144784,3.6446445,2.9175603
0,1,0,-17.393362,80.07094,-11.693493,-43.93293,40.795677,-26.236416,-2.293878,3.6147597,2.8954082
0,1,0,-17.41658,80.18954,-11.72606,-43.753777,40.678257,-26.18223,-2.272668,3.5839906,2.8726006
0,1,0,-17.438494,80.301445,-11.756794,-43.584713,40.56744,-26.131092,-2.252652,3.5549536,2.8510761
0,1,0,-17.463003,80.42663,-11.791171,-43.395596,40.443485,-26.073895,-2.2302618,3.5224726,2.8269994
0,1,0,-17.49143,80.57182,-11.831042,-43.176258,40.29972,-26.007553,-2.204294,3.4848013,2.7990754
0,1,0,-17.517876,80.70692,-11.868136,-42.9722,40.165974,-25.945831,-2.1801353,3.4497547,2.7730966
0,1,0,-17.544207,80.841385,-11.905067,-42.769043,40.032814,-25.884386,-2.156083,3.4148622,2.7472324
0,1,0,-17.572287,80.98481,-11.944453,-42.552383,39.890804,-25.818853,-2.1304321,3.3776507,2.7196488
0,1,0,-17.598797,81.12023,-11.981639,-42.347816,39.756725,-25.756979,-2.106213,3.3425162,2.6936052
0,1,0,-17.626387,81.26115,-12.020334,-42.13495,39.617203,-25.692596,-2.0810113,3.3059568,2.666505
0,1,0,-17.653965,81.40201,-12.059016,-41.922165,39.477734,-25.628235,-2.055819,3.2694104,2.6394148
0,1,0,-17.682955,81.550095,-12.09968,-41.698463,39.33111,-25.560575,-2.0293343,3.2309897,2.610935
0,1,0,-17.710615,81.691376,-12.138477,-41.485043,39.191223,-25.496023,-2.0040674,3.1943347,2.5837646
0,1,0,-17.738031,81.8314,-12.176931,-41.273502,39.052574,-25.432041,-1.9790227,3.158003,2.556833
0,1,0,-17.767256,81.980675,-12.21792,-41.04801,38.904778,-25.36384,-1.9523265,3.119275,2.5281255
0,1,0,-17.794044,82.1175,-12.255495,-40.841312,38.7693,-25.301321,-1.9278548,3.0837743,2.5018103
0,1,0,-17.823822,82.26959,-12.297261,-40.611565,38.61871,-25.23183,-1.9006541,3.0443144,2.4725602
0,1,0,-17.851915,82.413086,-12.336666,-40.39479,38.476627,-25.166264,-1.8749897,3.007084,2.4449627
