training,validation,test
0.057849492877721786,0.06180144101381302,0.06454559415578842
0.05780994892120361,0.06176275759935379,0.06458796560764313
0.05773360654711723,0.061565548181533813,0.06442920863628387
0.05771290138363838,0.06166385859251022,0.0643344298005104
0.05769647657871246,0.061643633991479874,0.06418894976377487
0.057689420878887177,0.06167807802557945,0.06415875256061554
0.05768377333879471,0.06166759878396988,0.06410721689462662
0.057677481323480606,0.06172539293766022,0.06410445272922516
0.05766090378165245,0.06178276613354683,0.06419554352760315
0.05762186646461487,0.06188538298010826,0.06418871134519577
0.05755481868982315,0.062072668224573135,0.06406237185001373
0.057408105581998825,0.061939775943756104,0.06376887112855911
0.05737978592514992,0.06201815605163574,0.06381936371326447
0.05737147107720375,0.062001973390579224,0.0638609528541565
0.05737019702792168,0.062010206282138824,0.06387118995189667
0.05736897513270378,0.06200200691819191,0.06392458826303482
0.05736897140741348,0.0620044469833374,0.06390028446912766
0.05736904591321945,0.06199657917022705,0.06391673535108566
0.05736902728676796,0.06199798360466957,0.06392651051282883
0.05736890807747841,0.062007296830415726,0.0639202818274498
0.057368841022253036,0.06201133877038956,0.06389821320772171
0.057369157671928406,0.062006864696741104,0.06390194594860077
0.05736897140741348,0.06200753152370453,0.06392981112003326
0.05736860632896423,0.062008459120988846,0.06391847133636475
0.0573691688477993,0.06201006844639778,0.06392254680395126
0.05736902728676796,0.06201125681400299,0.06391530483961105
0.0573689229786396,0.06201373040676117,0.06392789632081985
0.057368990033864975,0.06200298294425011,0.06391754001379013
0.05736873671412468,0.06201139837503433,0.06391408294439316
0.05736890062689781,0.062008924782276154,0.0639202743768692
0.05736873671412468,0.06201273947954178,0.06392131745815277
0.05736878141760826,0.06200450286269188,0.0639181062579155
0.057368792593479156,0.06201225519180298,0.0639263242483139
0.05736871436238289,0.06201445311307907,0.06392368674278259
0.05736900120973587,0.06200732663273811,0.06393000483512878
0.0573686882853508,0.06200562044978142,0.06391850113868713
0.057368867099285126,0.06200563907623291,0.06392209976911545
0.05736910179257393,0.06200823932886124,0.06391127407550812
0.057368602603673935,0.06200484186410904,0.06391463428735733
0.05736901983618736,0.06201457604765892,0.0639338493347168
0.05736881494522095,0.062008634209632874,0.0639348104596138
0.05736909061670303,0.06200426071882248,0.06391508877277374
0.05736427381634712,0.06199531629681587,0.06390364468097687
0.05736416578292847,0.0619841143488884,0.0638718456029892
0.05735994130373001,0.06197581812739372,0.06378917396068573
0.057359758764505386,0.06197713688015938,0.06377387046813965
0.057359933853149414,0.06197407469153404,0.06376932561397552
0.05736011266708374,0.061972055584192276,0.06377998739480972
0.057359885424375534,0.061976734548807144,0.06378241628408432
